movie1	movie2	class
The Curious Case of Benjamin Button	Panic Room	director in common
The Curious Case of Benjamin Button	The Social Network	director in common
The Curious Case of Benjamin Button	Se7en	director in common
The Curious Case of Benjamin Button	Legends of the Fall	 2 actors in common
The Curious Case of Benjamin Button	Snatch	 2 actors in common
X-Men: First Class	Stardust	director in common
X-Men: First Class	Kick-Ass	director in common
X-Men: First Class	Layer Cake	director in common
The Hunger Games: Mockingjay - Part 2	I Am Legend	director in common
The Hunger Games: Mockingjay - Part 2	The Hunger Games: Catching Fire	director and 2 actors in common
The Hunger Games: Mockingjay - Part 2	The Hunger Games: Mockingjay - Part 1	director and 3 actors in common
The Hunger Games: Mockingjay - Part 2	The Hunger Games	 2 actors in common
The Hunger Games: Mockingjay - Part 2	Water for Elephants	director in common
The Sorcerer's Apprentice	National Treasure	director in common
The Sorcerer's Apprentice	The Kid	director in common
The Sorcerer's Apprentice	Instinct	director in common
The Sorcerer's Apprentice	Phenomenon	director in common
The Sorcerer's Apprentice	Last Vegas	director in common
The Sorcerer's Apprentice	Cool Runnings	director in common
Poseidon	Troy	director in common
Poseidon	The Perfect Storm	director in common
Poseidon	Air Force One	director in common
Poseidon	Outbreak	director in common
Poseidon	The NeverEnding Story	director in common
Poseidon	Das Boot	director in common
Alice Through the Looking Glass	Muppets Most Wanted	director in common
Alice Through the Looking Glass	The Muppets	director in common
Shrek the Third	Puss in Boots	director in common
Warcraft	Source Code	director in common
Warcraft	Preacher	 2 actors in common
Warcraft	Moon	director in common
Terminator Genisys	Thor: The Dark World	director in common
The Chronicles of Narnia: The Voyage of the Dawn Treader	The World Is Not Enough	director in common
The Chronicles of Narnia: The Voyage of the Dawn Treader	Enough	director in common
The Chronicles of Narnia: The Voyage of the Dawn Treader	Extreme Measures	director in common
The Chronicles of Narnia: The Voyage of the Dawn Treader	Chasing Mavericks	director in common
The Chronicles of Narnia: The Voyage of the Dawn Treader	Coal Miner's Daughter	director in common
Pearl Harbor	Transformers	director in common
Pearl Harbor	Armageddon	director in common
Pearl Harbor	Bad Boys II	director in common
Pearl Harbor	The Island	director in common
Pearl Harbor	The Rock	director in common
Pearl Harbor	Bulletproof Monk	 2 actors in common
Pearl Harbor	13 Hours	director in common
Pearl Harbor	Pain & Gain	director in common
Pearl Harbor	Bad Boys	director in common
Transformers	Armageddon	director in common
Transformers	Bad Boys II	director in common
Transformers	The Island	director in common
Transformers	The Rock	director in common
Transformers	13 Hours	director in common
Transformers	Pain & Gain	director in common
Transformers	Bad Boys	director in common
Alexander	Wall Street: Money Never Sleeps	director in common
Alexander	World Trade Center	director in common
Alexander	Any Given Sunday	director in common
Alexander	Savages	director in common
Alexander	Nixon	director in common
Alexander	JFK	director in common
Alexander	The Doors	director in common
Alexander	W.	director in common
Alexander	Wall Street	director in common
Alexander	Born on the Fourth of July	director in common
Alexander	Platoon	director in common
Alexander	Salvador	director in common
